NameRu,UtcOffset,PostalCode,Latitude,Longitude
Адыгейск,3,385200,44.878414,39.190289
Майкоп,3,385000,44.6098268,40.1006606
Горно-Алтайск,7,649000,51.9581028,85.9603235
Алейск,7,658125,52.4922513,82.7793606
Барнаул,7,656000,53.3479968,83.7798064
Белокуриха,7,659900,51.996152,84.9839604
Бийск,7,659300,52.5393864,85.2138453
Горняк,7,658420,50.9979622,81.4643358
Заринск,7,659100,53.7063476,84.9315081
Змеиногорск,7,658480,51.1581094,82.1872547
Камень-на-Оби,7,658700,53.7913974,81.3545053
Новоалтайск,7,658041,53.4119759,83.9311069
Рубцовск,7,658200,51.5012067,81.2078695
Славгород,7,658820,52.999463,78.6459232
Яровое,7,658837,52.9252146,78.5729775
Белогорск,9,676805,50.9213415,128.4739471
Благовещенск,9,675000,50.290659,127.527198
Завитинск,9,676870,50.1064111,129.4391813
Зея,9,676151,53.7340088,127.265787
Райчихинск,9,676770,49.7941615,129.4112492
Свободный,9,676450,51.3614103,128.1219729
Сковородино,9,676011,53.9871095,123.9437205
Тында,9,676280,55.1546441,124.7468904
Циолковский,9,676470,51.762481,128.1219846
Шимановск,9,676301,52.0051886,127.7005458
Архангельск,3,163000,64.5394289,40.5169606
Вельск,3,165150,61.066,42.1032789
Каргополь,3,164110,61.5009724,38.9636966
Коряжма,3,165650,61.2885948,47.1003015
Котлас,3,165300,61.2528972,46.633242
Мезень,3,164750,65.8398078,44.2532273
Мирный,3,164170,62.7645265,40.3360076
Новодвинск,3,164900,64.4136851,40.8208143
Няндома,3,164200,61.6654674,40.2062947
Онега,3,164840,63.9162928,38.0805031
Северодвинск,3,164500,64.5625385,39.8180934
Сольвычегодск,3,165330,61.3319616,46.920441
Шенкурск,3,165160,62.1057272,42.8996973
Астрахань,4,414000,46.3655652,48.0559236
Ахтубинск,4,416500,48.2752034,46.1906462
Знаменск,4,416540,48.5866291,45.7368019
Камызяк,4,416340,46.110579,48.07333
Нариманов,4,416111,46.6916565,47.8502476
Харабали,4,416010,47.408999,47.2525345
Агидель,5,452920,55.8999056,53.9220144
Баймак,5,453630,52.5912896,58.3110998
Белебей,5,452000,54.1034582,54.1113129
Белорецк,5,453500,53.9676488,58.4100419
Бирск,5,452450,55.4155753,55.5582214
Благовещенск,5,453430,55.0499867,55.9553186
Давлеканово,5,453400,54.2226707,55.0312373
Дюртюли,5,452320,55.4848318,54.8524765
Ишимбай,5,453200,53.4545764,56.0438751
Кумертау,5,453300,52.7564939,55.7970197
Межгорье,5,453570,54.2397689,57.9614547
Мелеуз,5,453853,52.9589532,55.9282838
Нефтекамск,5,452680,56.088377,54.2483061
Октябрьский,5,452601,54.4815311,53.4655972
Салават,5,453250,53.3616974,55.9245224
Сибай,5,453830,52.7204651,58.6663783
Стерлитамак,5,453100,53.6300864,55.9317089
Туймазы,5,452750,54.5999224,53.6950623
Уфа,5,450000,54.734944,55.9578468
Учалы,5,453700,54.3067375,59.4125461
Янаул,5,452800,56.2650146,54.929907
Алексеевка,3,309850,50.6299647,38.6880342
Белгород,3,308000,50.5976472,36.5856652
Бирюч,3,309910,50.6484585,38.4005083
Валуйки,3,309990,50.2111207,38.0998772
Грайворон,3,309370,50.4862958,35.6663877
